,Player,Span,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
0,A Zampa (AUS),2023-2023,9*,9,432,72.0,1,389,21,4/8,18.52,5.4,20.57,3,-
1,D Madushanka (SL),2023-2023,9,9,470,78.2,4,525,21,5/80,25.0,6.7,22.38,1,1
2,G Coetzee (SA),2023-2023,7,7,327,54.3,1,349,18,4/44,19.38,6.4,18.16,1,-
3,M Jansen (SA),2023-2023,8,8,388,64.4,3,415,17,3/31,24.41,6.41,22.82,-,-
4,Mohammed Shami (IND),2023-2023,4,4,156,26.0,3,112,16,5/18,7.0,4.3,9.75,1,2
5,MJ Santner (NZ),2023-2023,9,9,496,82.4,3,398,16,5/59,24.87,4.81,31.0,-,1
6,Shaheen Shah Afridi (PAK),2023-2023,8,8,426,71.0,2,409,16,5/54,25.56,5.76,26.62,-,1
7,JJ Bumrah (IND),2023-2023,8,8,383,63.5,5,233,15,4/39,15.53,3.65,25.53,1,-
8,RA Jadeja (IND),2023-2023,8,8,387,64.3,4,243,14,5/33,17.35,3.76,27.64,-,1
9,KA Maharaj (SA),2023-2023,9,9,474,79.0,1,346,14,4/46,24.71,4.37,33.85,1,-
10,BFW de Leede (NED),2023-2023,8,7,342,57.0,-,405,14,4/62,28.92,7.1,24.42,1,-
11,AU Rashid (ENG),2023-2023,8,8,418,69.4,1,358,13,3/42,27.53,5.13,32.15,-,-
12,TA Boult (NZ),2023-2023,9,9,486,81.0,6,418,13,3/37,32.15,5.16,37.38,-,-
13,Haris Rauf (PAK),2023-2023,8,8,414,69.0,1,469,13,3/43,36.07,6.79,31.84,-,-
14,Kuldeep Yadav (IND),2023-2023,8,8,391,65.1,1,271,12,2/7,22.58,4.15,32.58,-,-
15,K Rabada (SA),2023-2023,8,8,401,66.5,7,323,12,3/33,26.91,4.83,33.41,-,-
16,JR Hazlewood (AUS),2023-2023,9*,9,433,72.1,5,369,12,3/38,30.75,5.11,36.08,-,-
17,LV van Beek (NED),2023-2023,7,7,365,60.5,1,369,12,4/74,30.75,6.06,30.41,1,-
19,PA van Meekeren (NED),2023-2023,8,8,386,64.2,1,357,11,4/23,32.45,5.54,35.09,1,-
20,Rashid Khan (AFG),2023-2023,9,9,519,86.3,2,388,11,3/37,35.27,4.48,47.18,-,-
21,LH Ferguson (NZ),2023-2023,6,6,276,46.0,3,236,10,3/19,23.6,5.13,27.6,-,-
22,Mohammed Siraj (IND),2023-2023,8,8,363,60.3,5,317,10,3/16,31.7,5.23,36.3,-,-
23,Mehidy Hasan Miraz (BAN),2023-2023,9*,8,396,66.0,3,355,10,3/25,35.5,5.37,39.6,-,-
24,L Ngidi (SA),2023-2023,8,8,363,60.3,6,355,10,2/26,35.5,5.86,36.3,-,-
25,A Dutt (NED),2023-2023,8,8,423,70.3,6,374,10,3/44,37.4,5.3,42.3,-,-
26,PJ Cummins (AUS),2023-2023,9*,9,389,64.5,1,396,10,2/32,39.6,6.1,38.9,-,-
27,Shoriful Islam (BAN),2023-2023,8,8,388,64.4,3,409,10,3/75,40.9,6.32,38.8,-,-
28,MA Starc (AUS),2023-2023,8,8,402,67.0,1,439,10,2/43,43.9,6.55,40.2,-,-
29,CR Woakes (ENG),2023-2023,7,7,297,49.3,1,271,9,4/54,30.11,5.47,33.0,1,-
30,Hasan Ali (PAK),2023-2023,6,6,306,51.0,2,321,9,4/71,35.66,6.29,34.0,1,-
31,Shakib Al Hasan (BAN),2023-2023,7,7,375,62.3,1,329,9,3/30,36.55,5.26,41.66,-,-
32,Mohammad Wasim (PAK),2023-2023,3,3,169,28.1,2,141,8,3/31,17.62,5.0,21.12,-,-
34,DJ Willey (ENG),2023-2023,5,5,246,41.0,6,203,8,3/45,25.37,4.95,30.75,-,-
35,Mohammad Nabi (AFG),2023-2023,9,9,369,61.3,4,254,8,3/28,31.75,4.13,46.12,-,-
36,CAK Rajitha (SL),2023-2023,6,6,294,49.0,1,336,8,4/50,42.0,6.85,36.75,1,-
37,Naveen-ul-Haq (AFG),2023-2023,8,8,322,53.4,1,352,8,2/47,44.0,6.55,40.25,-,-
38,Mujeeb Ur Rahman (AFG),2023-2023,9,9,491,81.5,2,458,8,3/51,57.25,5.59,61.37,-,-
39,T Shamsi (SA),2023-2023,3,3,167,27.5,-,170,7,4/60,24.28,6.1,23.85,1,-
40,Azmatullah Omarzai (AFG),2023-2023,9,9,228,38.0,1,270,7,2/52,38.57,7.1,32.57,-,-
41,AD Mathews (SL),2023-2023,5,5,133,22.1,2,107,6,2/14,17.83,4.82,22.16,-,-
42,Mahedi Hasan (BAN),2023-2023,3*,2,90,15.0,-,111,6,4/71,18.5,7.4,15.0,1,-
43,GD Phillips (NZ),2023-2023,9,9,210,35.0,1,200,6,3/37,33.33,5.71,35.0,-,-
45,MA Wood (ENG),2023-2023,7,7,324,54.0,1,349,6,2/50,58.16,6.46,54.0,-,-
46,M Theekshana (SL),2023-2023,8,8,428,71.2,1,382,6,2/44,63.66,5.35,71.33,-,-
48,Noor Ahmad (AFG),2023-2023,4,4,228,38.0,1,182,5,3/49,36.4,4.78,45.6,-,-
49,CN Ackermann (NED),2023-2023,8,8,266,44.2,2,209,5,2/39,41.8,4.71,53.2,-,-
50,RE van der Merwe (NED),2023-2023,7,7,276,46.0,-,258,5,2/34,51.6,5.6,55.2,-,-
51,GJ Maxwell (AUS),2023-2023,7,6,315,52.3,1,260,5,2/34,52.0,4.95,63.0,-,-
52,R Ravindra (NZ),2023-2023,9,8,352,58.4,-,333,5,2/21,66.6,5.67,70.4,-,-
53,TG Southee (NZ),2023-2023,3,3,138,23.0,-,156,4,2/77,39.0,6.78,34.5,-,-
54,Taskin Ahmed (BAN),2023-2023,7*,6,270,45.0,3,244,4,2/43,61.0,5.42,67.5,-,-
56,Mustafizur Rahman (BAN),2023-2023,8*,7,336,56.0,2,322,4,2/36,80.5,5.75,84.0,-,-
57,Tanzim Hasan Sakib (BAN),2023-2023,1,1,60,10.0,-,80,3,3/80,26.66,8.0,20.0,-,-
59,MP Stoinis (AUS),2023-2023,6*,5,84,14.0,-,98,3,2/40,32.66,7.0,28.0,-,-
61,LS Livingstone (ENG),2023-2023,6,6,174,29.0,1,158,3,1/13,52.66,5.44,58.0,-,-
62,MM Ali (ENG),2023-2023,5,5,196,32.4,-,188,3,3/42,62.66,5.75,65.33,-,-
63,Iftikhar Ahmed (PAK),2023-2023,8,7,246,41.0,-,224,3,1/16,74.66,5.46,82.0,-,-
65,MR Marsh (AUS),2023-2023,8*,4,60,10.0,-,73,2,2/19,36.5,7.3,30.0,-,-
66,AAP Atkinson (ENG),2023-2023,2,2,96,16.0,-,101,2,2/60,50.5,6.31,48.0,-,-
72,PVD Chameera (SL),2023-2023,4,4,188,31.2,3,196,2,1/20,98.0,6.25,94.0,-,-
75,SA Abbott (AUS),2023-2023,1*,1,18,3.0,-,25,1,1/25,25.0,8.33,18.0,-,-
77,AL Phehlukwayo (SA),2023-2023,1,1,42,7.0,-,36,1,1/36,36.0,5.14,42.0,-,-
79,JE Root (ENG),2023-2023,8,2,61,10.1,-,67,1,1/19,67.0,6.59,61.0,-,-
